Fuel,Ea/R,intercept
C10_10_export.csv,20.26886785068111,-24.766958592842936
C11_10_export.csv,20.475119539440946,-24.95383802742892
C12_10_export.csv,20.17171618188404,-24.842198590431416
C13_10_export.csv,20.276425990456985,-24.95427914306333
C14_10_export.csv,20.113800011910833,-24.912840376758425
C15_10_export.csv,20.18040320837868,-25.00493449902498
C16_10_export.csv,20.108291443779063,-25.01793604827824
C3_10_export.csv,23.817275144380314,-25.33044505823682
C4_10_export.csv,22.901033539226553,-25.184569977530952
C5_10_export.csv,21.16648624120149,-24.4091380698476
C6_10_export.csv,19.848483536280423,-23.715485368103487
C7_10_export.csv,21.198937401267553,-24.71907919060005
C8_10_export.csv,20.62647457307954,-24.869789624794965
C9_10_export.csv,20.715024552741397,-24.97652370072227
