Fuel,,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
CCCC,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CCCC,mean,91.836,1.05,1.045,7.119,1.5020000000000002,1466.2,228.2
CCCC,std,3.633878246599782,0.3689323936863109,0.3700225218370723,3.3646774651434934,0.8554894635366481,80.11075666434148,93.38070226527297
CCCC,min,85.0,0.5,0.5,3.25,1.03,1400.0,140.0
CCCC,10%,85.9,0.95,0.905,3.25,1.102,1404.5,148.1
CCCC,20%,91.19999999999999,1.0,0.99,5.602,1.118,1410.6000000000001,150.6
CCCC,30%,92.5,1.0,1.0,6.407,1.134,1414.1,169.2
CCCC,40%,92.5,1.0,1.0,6.5,1.158,1425.2,178.2
CCCC,50%,92.5,1.0,1.0,6.5,1.1749999999999998,1441.0,184.0
CCCC,60%,92.5,1.0,1.0,6.5,1.188,1461.2,220.19999999999996
CCCC,70%,92.608,1.0,1.0,6.5,1.212,1484.3000000000002,269.4
CCCC,80%,93.438,1.0,1.0,7.800000000000002,1.3980000000000001,1500.2,287.0
CCCC,90%,95.80000000000001,1.0999999999999996,1.0999999999999996,13.0,2.2069999999999994,1521.1,343.49999999999994
CCCC,max,96.25,2.0,2.0,13.0,3.8,1666.0,420.0
CCCCC,count,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CCCCC,mean,95.5625,0.875,0.4375,4.0,2.2125,1376.75,613.75
CCCCC,std,0.125,0.25,0.125,0.0,0.8423924263667144,93.36799951446606,551.5477464976778
CCCCC,min,95.5,0.5,0.25,4.0,1.73,1263.0,145.0
CCCCC,10%,95.5,0.65,0.325,4.0,1.7329999999999999,1292.1,196.3
CCCCC,20%,95.5,0.8,0.4,4.0,1.7359999999999998,1321.2,247.60000000000002
CCCCC,30%,95.5,0.95,0.475,4.0,1.7389999999999999,1350.3,298.9
CCCCC,40%,95.5,1.0,0.5,4.0,1.774,1367.0,373.4000000000001
CCCCC,50%,95.5,1.0,0.5,4.0,1.825,1377.5,459.5
CCCCC,60%,95.5,1.0,0.5,4.0,1.876,1388.0,545.6
CCCCC,70%,95.52499999999999,1.0,0.5,4.0,2.0659999999999994,1404.3999999999999,681.7999999999997
CCCCC,80%,95.6,1.0,0.5,4.0,2.5340000000000007,1432.6,918.2000000000003
CCCCC,90%,95.67500000000001,1.0,0.5,4.0,3.0020000000000002,1460.8,1154.6000000000001
CCCCC,max,95.75,1.0,0.5,4.0,3.47,1489.0,1391.0
CCCCCC,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CCCCCC,mean,95.622,0.9,0.378,4.0,2.4939999999999998,1380.2,495.2
CCCCCC,std,0.09391485505499474,0.22360679774997896,0.09391485505499117,0.0,0.9565981392413431,70.09422230112835,422.5094081792735
CCCCCC,min,95.58,0.5,0.21,4.0,1.76,1274.0,176.0
CCCCCC,10%,95.58,0.7,0.29400000000000004,4.0,1.7640000000000002,1314.4,222.0
CCCCCC,20%,95.58,0.9,0.378,4.0,1.768,1354.8,268.0
CCCCCC,30%,95.58,1.0,0.42,4.0,1.788,1377.1999999999998,293.0
CCCCCC,40%,95.58,1.0,0.41999999999999993,4.0,1.8240000000000003,1381.6,297.0
CCCCCC,50%,95.58,1.0,0.42,4.0,1.86,1386.0,301.0
CCCCCC,60%,95.58,1.0,0.41999999999999993,4.0,2.508,1390.0,373.79999999999995
CCCCCC,70%,95.58,1.0,0.42,4.0,3.1559999999999997,1394.0,446.59999999999997
CCCCCC,80%,95.622,1.0,0.42,4.0,3.504,1410.8,631.4000000000001
CCCCCC,90%,95.706,1.0,0.41999999999999993,4.0,3.5520000000000005,1440.4,928.2
CCCCCC,max,95.79,1.0,0.42,4.0,3.6,1470.0,1225.0
CCCCCCC,count,36.0,36.0,36.0,36.0,36.0,36.0,36.0
CCCCCCC,mean,88.9886111111111,0.9222222222222223,0.8861111111111111,10.125277777777775,8.907833333333333,1335.7222222222222,350.5
CCCCCCC,std,8.415451419104121,0.21126978164167404,0.7264122315591406,7.700399427900241,14.922470460923783,138.1985344373627,311.9983058562063
CCCCCCC,min,77.52600000000001,0.5,0.03,0.33,1.15,1007.0,102.0
CCCCCCC,10%,77.52600000000001,0.5,0.1,2.2,1.1949999999999998,1081.5,117.0
CCCCCCC,20%,77.52600000000001,0.9,0.4,4.4,1.22,1271.0,137.0
CCCCCCC,30%,82.07499999999999,1.0,0.4,4.4,1.27,1317.5,158.5
CCCCCCC,40%,90.0,1.0,0.4,4.8,1.67,1358.0,208.0
CCCCCCC,50%,90.8,1.0,0.4,8.8,2.055,1378.0,236.0
CCCCCCC,60%,94.8,1.0,1.2,8.8,2.436,1409.0,305.0
CCCCCCC,70%,95.2,1.0,1.475,16.45,5.630000000000001,1420.0,371.5
CCCCCCC,80%,95.2,1.0,1.874,20.6,15.0,1438.0,403.0
CCCCCCC,90%,97.7,1.0,1.874,20.6,17.424999999999997,1459.5,781.0
CCCCCCC,max,99.64,1.5,1.874,20.6,57.7,1491.0,1330.0
CCCCCCCC,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0
CCCCCCCC,mean,95.76,0.75,0.24,4.0,2.5466666666666664,1366.0,491.1666666666667
CCCCCCCC,std,0.08763560920082471,0.27386127875258304,0.08763560920082658,0.0,0.829304929845872,67.59585786126247,465.9001681333316
CCCCCCCC,min,95.68,0.5,0.16,4.0,1.91,1252.0,104.0
CCCCCCCC,10%,95.68,0.5,0.16,4.0,1.93,1288.5,157.0
CCCCCCCC,20%,95.68,0.5,0.16,4.0,1.95,1325.0,210.0
CCCCCCCC,30%,95.68,0.5,0.16,4.0,1.98,1352.5,215.0
CCCCCCCC,40%,95.68,0.5,0.16,4.0,2.01,1380.0,220.0
CCCCCCCC,50%,95.76,0.75,0.24,4.0,2.0999999999999996,1382.0,252.5
CCCCCCCC,60%,95.84,1.0,0.32,4.0,2.19,1384.0,285.0
CCCCCCCC,70%,95.84,1.0,0.32,4.0,2.8899999999999997,1402.5,572.0
CCCCCCCC,80%,95.84,1.0,0.32,4.0,3.59,1421.0,859.0
CCCCCCCC,90%,95.84,1.0,0.32,4.0,3.61,1427.5,1064.0
CCCCCCCC,max,95.84,1.0,0.32,4.0,3.63,1434.0,1269.0
CCCCCCCCC,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CCCCCCCCC,mean,95.82840000000002,0.6,0.17160000000000003,4.0,1.8039999999999998,1373.8,371.4
CCCCCCCCC,std,0.06395154415650064,0.22360679774997896,0.063951544156494,0.0,0.03361547262794325,65.02076591366792,238.9483207725051
CCCCCCCCC,min,95.714,0.5,0.14300000000000002,4.0,1.75,1299.0,93.0
CCCCCCCCC,10%,95.7712,0.5,0.14300000000000002,4.0,1.77,1311.8,148.2
CCCCCCCCC,20%,95.8284,0.5,0.14300000000000002,4.0,1.79,1324.6,203.4
CCCCCCCCC,30%,95.857,0.5,0.14300000000000002,4.0,1.802,1341.6,261.2
CCCCCCCCC,40%,95.85700000000001,0.5,0.14300000000000002,4.0,1.806,1362.8,321.6
CCCCCCCCC,50%,95.85700000000001,0.5,0.14300000000000002,4.0,1.81,1384.0,382.0
CCCCCCCCC,60%,95.85700000000001,0.5,0.14300000000000002,4.0,1.814,1384.4,397.6
CCCCCCCCC,70%,95.85700000000001,0.5,0.14300000000000002,4.0,1.818,1384.8,413.19999999999993
CCCCCCCCC,80%,95.85700000000001,0.6000000000000001,0.17160000000000003,4.0,1.824,1402.0,482.80000000000007
CCCCCCCCC,90%,95.85700000000001,0.8,0.22880000000000006,4.0,1.8320000000000003,1436.0,606.4
CCCCCCCCC,max,95.85700000000001,1.0,0.28600000000000003,4.0,1.84,1470.0,730.0
CCCCCCCCCC,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CCCCCCCCCC,mean,98.10249999999999,1.0,0.115,1.7825,2.1950000000000003,1441.5,306.5
CCCCCCCCCC,std,1.9834345212282605,0.0,0.1202081528017131,1.8632263684265526,0.007071067811865638,53.033008588991066,96.87362902255701
CCCCCCCCCC,min,96.7,1.0,0.03,0.465,2.19,1404.0,238.0
CCCCCCCCCC,10%,96.9805,1.0,0.047,0.7285000000000001,2.1910000000000003,1411.5000000000002,251.70000000000002
CCCCCCCCCC,20%,97.26100000000001,1.0,0.064,0.9920000000000002,2.192,1419.0,265.4
CCCCCCCCCC,30%,97.5415,1.0,0.08099999999999999,1.2555,2.193,1426.5,279.1
CCCCCCCCCC,40%,97.822,1.0,0.09800000000000002,1.5190000000000001,2.194,1434.0,292.79999999999995
CCCCCCCCCC,50%,98.10249999999999,1.0,0.115,1.7825,2.1950000000000003,1441.5,306.5
CCCCCCCCCC,60%,98.38300000000001,1.0,0.132,2.046,2.196,1449.0,320.2
CCCCCCCCCC,70%,98.6635,1.0,0.149,2.3095,2.197,1456.5,333.9
CCCCCCCCCC,80%,98.94399999999999,1.0,0.16600000000000004,2.5730000000000004,2.198,1464.0,347.59999999999997
CCCCCCCCCC,90%,99.2245,1.0,0.18300000000000002,2.8365,2.1990000000000003,1471.5,361.3
CCCCCCCCCC,max,99.505,1.0,0.2,3.1,2.2,1479.0,375.0
CCCCCCCCCCCC,count,63.0,63.0,63.0,63.0,63.0,63.0,63.0
CCCCCCCCCCCC,mean,82.28904317460321,0.7336507936507937,0.6820473015873014,17.02890952380952,11.436984126984127,1123.2539682539682,1243.015873015873
CCCCCCCCCCCC,std,8.062014612353181,0.3190222036326787,0.4626678442405675,7.738774735408165,7.9269515018478085,145.0299155184519,1390.486576382103
CCCCCCCCCCCC,min,77.19800000000001,0.05,0.0445,0.7427,2.07,838.0,114.0
CCCCCCCCCCCC,10%,77.8356,0.458,0.051460000000000006,1.911,4.3740000000000006,940.4000000000001,221.8
CCCCCCCCCCCC,20%,78.0809,0.5,0.1,10.543000000000006,4.95,996.3999999999999,266.8
CCCCCCCCCCCC,30%,78.107,0.5,0.49339999999999995,20.77,5.728,1049.6,463.7999999999999
CCCCCCCCCCCC,40%,78.12142,0.5,0.565,20.89,6.258,1107.0,586.8
CCCCCCCCCCCC,50%,78.411,0.73,0.589,21.0,6.7,1123.0,713.0
CCCCCCCCCCCC,60%,78.5414,0.8999999999999996,0.8785799999999999,21.0,15.0,1142.6,869.3999999999996
CCCCCCCCCCCC,70%,78.545,1.0,1.1187999999999998,21.0,15.998000000000001,1179.0,1164.6
CCCCCCCCCCCC,80%,89.28268000000003,1.0,1.123,21.0,20.220000000000002,1196.0,1818.0
CCCCCCCCCCCC,90%,98.03754,1.028,1.1644,21.0,21.0,1306.8000000000004,2535.4000000000015
CCCCCCCCCCCC,max,99.2068,1.59,1.8019999999999998,21.0,33.7,1553.0,6085.0
CCCCCCCCCCCCCCCC,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCCCCCCCCCCCCCCC,mean,95.85653333333333,0.88,0.14346666666666666,4.0,1.8,1277.0,1635.0
CCCCCCCCCCCCCCCC,std,0.016149406593843185,0.09848857801796103,0.01614940659384527,0.0,0.07937253933193779,66.3023378170031,803.7281878844365
CCCCCCCCCCCCCCCC,min,95.8435,0.77,0.1254,4.0,1.71,1231.0,708.0
CCCCCCCCCCCCCCCC,10%,95.8451,0.7980000000000002,0.13002000000000002,4.0,1.7340000000000002,1234.2,978.4
CCCCCCCCCCCCCCCC,20%,95.8467,0.8260000000000001,0.13464,4.0,1.758,1237.4,1248.8
CCCCCCCCCCCCCCCC,30%,95.8483,0.8540000000000001,0.13926,4.0,1.782,1240.6,1519.2
CCCCCCCCCCCCCCCC,40%,95.8499,0.8820000000000001,0.14388,4.0,1.806,1243.8,1789.6
CCCCCCCCCCCCCCCC,50%,95.8515,0.91,0.1485,4.0,1.83,1247.0,2060.0
CCCCCCCCCCCCCCCC,60%,95.85612,0.92,0.1501,4.0,1.836,1268.2,2075.4
CCCCCCCCCCCCCCCC,70%,95.86073999999999,0.93,0.1517,4.0,1.842,1289.4,2090.8
CCCCCCCCCCCCCCCC,80%,95.86536000000001,0.94,0.1533,4.0,1.8480000000000003,1310.6,2106.2
CCCCCCCCCCCCCCCC,90%,95.86998,0.95,0.15489999999999998,4.0,1.854,1331.8,2121.6
CCCCCCCCCCCCCCCC,max,95.8746,0.96,0.1565,4.0,1.86,1353.0,2137.0
