Fuel,,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
CCCCCCCCC,70%,95.82840000000002,1.0,0.28600000000000003,4.0,3.2359999999999998,1393.6000000000001,387.6
CCCCCCCCC,80%,95.85700000000001,1.0,0.28600000000000003,4.0,3.59,1399.0,423.8
CCCCCCCCC,90%,95.85700000000001,1.0,0.28600000000000003,4.0,3.6100000000000003,1399.0,461.4
CCCCCCCCC,max,95.85700000000001,1.0,0.28600000000000003,4.0,3.63,1399.0,499.0
CCCCCCCCCC,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CCCCCCCCCC,mean,99.34896666666667,0.8133333333333334,0.031133333333333332,0.6199,1.9733333333333334,1454.3333333333333,474.6666666666667
CCCCCCCCCC,std,0.1789715712992798,0.18036999011291577,0.0019629909152447276,0.17711699523196522,0.2454248017893329,123.67834625888776,542.4355568483073
CCCCCCCCCC,min,99.1536,0.64,0.03,0.465,1.69,1327.0,119.0
CCCCCCCCCC,10%,99.20054,0.672,0.03,0.48834000000000005,1.774,1354.0000000000002,136.4
CCCCCCCCCC,20%,99.24748,0.7040000000000001,0.03,0.51168,1.858,1381.0,153.8
CCCCCCCCCC,30%,99.29442,0.736,0.03,0.53502,1.9419999999999997,1408.0,171.2
CCCCCCCCCC,40%,99.34136000000001,0.7680000000000001,0.03,0.55836,2.026,1435.0,188.6
CCCCCCCCCC,50%,99.3883,0.8,0.03,0.5817,2.11,1462.0,206.0
CCCCCCCCCC,60%,99.41164,0.8400000000000001,0.03068,0.62796,2.112,1484.4,384.59999999999997
CCCCCCCCCC,70%,99.43498,0.88,0.03136,0.6742199999999999,2.114,1506.8000000000002,563.1999999999999
CCCCCCCCCC,80%,99.45831999999999,0.92,0.03204,0.72048,2.116,1529.1999999999998,741.8000000000001
CCCCCCCCCC,90%,99.48165999999999,0.96,0.03272,0.76674,2.118,1551.6,920.4000000000001
CCCCCCCCCC,max,99.505,1.0,0.0334,0.813,2.12,1574.0,1099.0
CCCCCCCCCCCC,count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
CCCCCCCCCCCC,mean,82.91943333333334,0.6716666666666665,0.6166916666666666,16.463875,11.600833333333332,1115.9166666666667,1209.4166666666667
CCCCCCCCCCCC,std,8.264203767673155,0.3357751145279112,0.4766063929917219,7.944609965595213,6.944387735034152,149.69444724582098,1580.6609766766578
CCCCCCCCCCCC,min,77.01,0.3,0.045,0.75,2.14,903.0,90.0
CCCCCCCCCCCC,10%,78.02109,0.445,0.1,3.596,4.853,967.5999999999999,269.6
CCCCCCCCCCCC,20%,78.107,0.5,0.1,3.7150000000000003,5.438000000000001,984.0,419.80000000000007
CCCCCCCCCCCC,30%,78.39464,0.5,0.34829,20.77,5.814,995.5,525.1
CCCCCCCCCCCC,40%,78.43044,0.5,0.55004,20.89,6.508,1041.0,651.0
CCCCCCCCCCCC,50%,78.4829,0.5,0.565,20.945,7.665000000000001,1102.5,753.5
CCCCCCCCCCCC,60%,78.545,0.5,0.56956,21.0,15.436,1174.6,894.7999999999998
CCCCCCCCCCCC,70%,78.65171000000001,0.8259999999999997,0.6090299999999993,21.0,16.174,1193.8999999999999,1083.8999999999999
CCCCCCCCCCCC,80%,96.185,1.0,1.0492000000000004,21.0,19.68,1218.2,1203.0000000000002
CCCCCCCCCCCC,90%,96.304,1.0,1.123,21.0,20.79,1235.0,2573.2
CCCCCCCCCCCC,max,99.205,1.75,1.99,21.0,22.9,1583.0,7825.0
CCCCCCCCCCCCCCCC,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CCCCCCCCCCCCCCCC,mean,95.8963,0.635,0.1037,4.0,1.935,1215.0,2463.5
CCCCCCCCCCCCCCCC,std,0.018101933598373622,0.10606601717798207,0.018101933598375624,0.0,0.03535533905932741,4.242640687119285,273.6503243191939
CCCCCCCCCCCCCCCC,min,95.8835,0.56,0.0909,4.0,1.91,1212.0,2270.0
CCCCCCCCCCCCCCCC,10%,95.88606,0.5750000000000001,0.09345999999999999,4.0,1.9149999999999998,1212.6,2308.7
CCCCCCCCCCCCCCCC,20%,95.88862,0.5900000000000001,0.09602,4.0,1.92,1213.2,2347.4
CCCCCCCCCCCCCCCC,30%,95.89117999999999,0.605,0.09858,4.0,1.9249999999999998,1213.8,2386.1
CCCCCCCCCCCCCCCC,40%,95.89374,0.62,0.10114000000000001,4.0,1.93,1214.4,2424.8
CCCCCCCCCCCCCCCC,50%,95.8963,0.635,0.1037,4.0,1.935,1215.0,2463.5
CCCCCCCCCCCCCCCC,60%,95.89886,0.65,0.10626,4.0,1.94,1215.6,2502.2
CCCCCCCCCCCCCCCC,70%,95.90142,0.665,0.10882,4.0,1.9449999999999998,1216.2,2540.9
CCCCCCCCCCCCCCCC,80%,95.90397999999999,0.6799999999999999,0.11138,4.0,1.95,1216.8,2579.6
CCCCCCCCCCCCCCCC,90%,95.90654,0.6950000000000001,0.11394000000000001,4.0,1.955,1217.4,2618.3
CCCCCCCCCCCCCCCC,max,95.9091,0.71,0.1165,4.0,1.96,1218.0,2657.0
