Fuel,,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
CCCC,count,9.0,9.0,9.0,9.0,9.0,9.0,9.0
CCCC,mean,91.81777777777778,1.1111111111111112,0.9944444444444444,7.187777777777778,1.822222222222222,1492.0,182.88888888888889
CCCC,std,3.5631053091993286,0.5464532103585001,0.01666666666666668,3.561315690084838,1.1460233175832175,93.98803115290798,90.54618220063787
CCCC,min,86.0,0.5,0.95,3.25,1.07,1352.0,70.0
CCCC,10%,86.0,0.5,0.99,3.25,1.1179999999999999,1389.6,83.60000000000001
CCCC,20%,89.9,0.8,1.0,5.014000000000001,1.13,1419.4,92.4
CCCC,30%,92.5,1.0,1.0,6.314,1.13,1441.0,118.0
CCCC,40%,92.5,1.0,1.0,6.5,1.132,1453.1999999999998,154.8
CCCC,50%,92.5,1.0,1.0,6.5,1.14,1454.0,170.0
CCCC,60%,92.5,1.0,1.0,6.5,1.22,1536.3999999999999,208.39999999999998
CCCC,70%,92.71600000000001,1.0,1.0,6.5,1.6959999999999997,1569.0,233.0
CCCC,80%,94.01599999999999,1.4000000000000004,1.0,9.100000000000001,2.7000000000000006,1580.2,267.40000000000003
CCCC,90%,95.75,2.0,1.0,13.0,3.7619999999999996,1591.6000000000001,304.59999999999997
CCCC,max,95.75,2.0,1.0,13.0,3.81,1618.0,307.0
CCCCC,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCCCC,mean,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,std,,,,,,,
CCCCC,min,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,10%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,20%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,30%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,40%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,50%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,60%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,70%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,80%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,90%,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCC,max,95.75,0.5,0.25,4.0,1.75,1397.0,232.0
CCCCCC,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CCCCCC,mean,95.58,1.0,0.42,4.0,3.265,1328.5,1034.0
CCCCCC,std,0.0,0.0,0.0,0.0,0.23334523779156074,111.01576464628796,1090.3586565896562
CCCCCC,min,95.58,1.0,0.42,4.0,3.1,1250.0,263.0
CCCCCC,10%,95.58000000000001,1.0,0.42,4.0,3.133,1265.7,417.20000000000005
CCCCCC,20%,95.58,1.0,0.42000000000000004,4.0,3.1660000000000004,1281.4,571.4
CCCCCC,30%,95.57999999999998,1.0,0.42,4.0,3.199,1297.1,725.6
CCCCCC,40%,95.58,1.0,0.42000000000000004,4.0,3.232,1312.8000000000002,879.8
CCCCCC,50%,95.58,1.0,0.42,4.0,3.265,1328.5,1034.0
CCCCCC,60%,95.58,1.0,0.42000000000000004,4.0,3.298,1344.1999999999998,1188.2
CCCCCC,70%,95.58,1.0,0.42,4.0,3.331,1359.9,1342.4
CCCCCC,80%,95.58,1.0,0.42,4.0,3.364,1375.6000000000001,1496.6
CCCCCC,90%,95.58,1.0,0.42,4.0,3.3970000000000002,1391.3,1650.8
CCCCCC,max,95.58,1.0,0.42,4.0,3.43,1407.0,1805.0
CCCCCCC,count,17.0,17.0,17.0,17.0,17.0,17.0,17.0
CCCCCCC,mean,90.79023529411766,0.9941176470588234,0.7474117647058824,8.462352941176471,4.840588235294117,1384.4117647058824,376.88235294117646
CCCCCCC,std,9.098345945345034,0.3071452999707429,0.7595306987561077,8.346551330798071,5.804677500288276,171.53318149250651,433.61804655032245
CCCCCCC,min,77.52600000000001,0.5,0.03,0.33,1.17,906.0,85.0
CCCCCCC,10%,77.52600000000001,0.7400000000000001,0.042,0.4620000000000001,1.204,1233.6,95.4
CCCCCCC,20%,77.7308,1.0,0.06000000000000001,0.8800000000000003,1.224,1268.0,162.2
CCCCCCC,30%,88.03,1.0,0.33999999999999997,2.2,1.264,1346.3999999999999,174.2
CCCCCCC,40%,92.4,1.0,0.4,4.4,1.6540000000000001,1383.0,196.2
CCCCCCC,50%,95.2,1.0,0.4,4.4,1.97,1395.0,208.0
CCCCCCC,60%,95.2,1.0,0.4,7.199999999999999,2.2319999999999998,1423.6,261.59999999999997
CCCCCCC,70%,97.46000000000001,1.0,0.9899999999999993,10.979999999999993,4.038,1437.6,303.0
CCCCCCC,80%,99.06000000000002,1.0,1.8492000000000002,20.42,9.030000000000003,1500.0,455.0000000000001
CCCCCCC,90%,99.49600000000001,1.0,1.874,20.6,13.068000000000001,1575.2,770.0
CCCCCCC,max,99.64,2.0,1.874,20.6,19.87,1640.0,1836.0
CCCCCCCC,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCCCCCCC,mean,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,std,,,,,,,
CCCCCCCC,min,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,10%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,20%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,30%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,40%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,50%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,60%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,70%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,80%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,90%,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCC,max,95.68,1.0,0.32,4.0,1.87,1455.0,166.0
CCCCCCCCC,count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CCCCCCCCC,mean,95.7712,0.8,0.22880000000000003,4.0,2.526,1377.0,316.4
CCCCCCCCC,std,0.07832432572324691,0.27386127875258304,0.07832432572323877,0.0,0.9856875772779121,21.988633427296023,140.00464278015926
CCCCCCCCC,min,95.714,0.5,0.14300000000000002,4.0,1.78,1348.0,180.0
CCCCCCCCC,10%,95.714,0.5,0.14300000000000002,4.0,1.7800000000000002,1355.6,180.0
CCCCCCCCC,20%,95.714,0.5,0.14300000000000002,4.0,1.78,1363.2,180.0
CCCCCCCCC,30%,95.714,0.6,0.1716,4.0,1.796,1368.0,207.6
CCCCCCCCC,40%,95.714,0.8,0.22880000000000006,4.0,1.8280000000000003,1370.0,262.8
CCCCCCCCC,50%,95.714,1.0,0.28600000000000003,4.0,1.86,1372.0,318.0
CCCCCCCCC,60%,95.77120000000001,1.0,0.28600000000000003,4.0,2.548,1382.8000000000002,352.8
