,Diluant(%),Equv(phi),Fuel(%),Oxidizer(%),P(atm),T(K),Time(μs)
count,134.0,134.0,134.0,134.0,134.0,134.0,134.0
mean,87.343256119403,0.8213432835820895,0.6859505970149253,11.97079328358209,8.295835820895523,1251.4925373134329,809.4253731343283
std,8.837256046524876,0.29842894658118885,0.5527030770101456,8.46600202345135,10.159834469815221,178.82506032301143,1080.135388178247
min,77.19800000000001,0.05,0.03,0.33,1.03,838.0,93.0
10%,77.7627,0.5,0.06884,2.2,1.22,1004.2,146.2
20%,78.107,0.5,0.1463,4.0,1.756,1088.4,183.0
30%,78.31326,0.5,0.31659999999999994,4.0,1.946,1133.3,238.0
40%,78.545,0.8560000000000001,0.4,4.480000000000001,2.378,1192.8,292.2
50%,90.2,1.0,0.55915,8.8,4.625,1267.0,382.0
60%,95.11999999999999,1.0,0.7351599999999999,20.6,5.7620000000000005,1348.2,583.0
70%,95.59,1.0,1.0,20.77,6.729999999999999,1384.1,743.8999999999997
80%,95.85700000000001,1.0,1.123,21.0,15.620000000000001,1413.8000000000002,1126.0
90%,97.7,1.0,1.501,21.0,20.540000000000003,1460.1,1952.6000000000006
max,99.64,2.0,2.0,21.0,57.7,1666.0,6085.0
