CCCC,9
CCCCC,1
CCCCCC,2
CCCCCCC,17
CCCCCCCC,1
CCCCCCCCC,5
CCCCCCCCCC,3
CCCCCCCCCCCC,24
CCCCCCCCCCCCCCCC,2
