Fuel,Ea/R,intercept
C10_5_export.csv,20.313314119798388,-24.321453025216993
C11_5_export.csv,20.47145047895849,-24.475607526973782
C12_5_export.csv,20.163560088347975,-24.354953190666258
C13_5_export.csv,20.22902049552133,-24.439528411707613
C14_5_export.csv,20.063000144551353,-24.392520742311362
C15_5_export.csv,20.109438135478563,-24.47115157504477
C16_5_export.csv,20.0274546673137,-24.47598302740939
C3_5_export.csv,24.050424387615543,-25.086127702448152
C4_5_export.csv,23.311394967645185,-25.07712850060245
C5_5_export.csv,21.467353329362027,-24.171407072061914
C6_5_export.csv,20.210405619679673,-23.49462423548014
C7_5_export.csv,21.666196670252912,-24.573199441588716
C8_5_export.csv,20.757732588473587,-24.491802192154637
C9_5_export.csv,20.74660427653936,-24.533180391717856
