Fuel,Ea/R,intercept
C10_10_export.csv,11.804733715517452,-19.451963455783158
C11_10_export.csv,11.778057643443518,-19.49908387941216
C12_10_export.csv,11.718027162708657,-19.54398818304645
C13_10_export.csv,11.707986400255512,-19.598801956321537
C14_10_export.csv,11.659115094984838,-19.634953300956226
C15_10_export.csv,11.667238708354082,-19.695103909632884
C16_10_export.csv,11.65358957439203,-19.748537375986647
C3_10_export.csv,18.872721058841368,-22.23536544710831
C4_10_export.csv,14.864900903773622,-20.213591801476
C5_10_export.csv,12.940579765206039,-19.221030049133624
C6_10_export.csv,12.229083242640463,-18.923367465673593
C7_10_export.csv,11.95584970105574,-18.914311613676418
C8_10_export.csv,11.99429931203421,-19.41315381000074
C9_10_export.csv,11.926191878700052,-19.440136467128326
